2019-12-28 22:56:42.125 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 10:56:42 PM
2019-12-28 22:56:48.707 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables []
2019-12-28 22:56:48.712 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Inflating new tables.
2019-12-28 22:56:48.712 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE BOOK (id varchar(200) primary key,title varchar(200),author varchar(200),publisher varchar(100),isAvail boolean default true)
2019-12-28 22:56:48.713 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE MEMBER (id varchar(200) primary key,name varchar(200),mobile varchar(20),email varchar(100))
2019-12-28 22:56:48.713 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE ISSUE (bookID varchar(200) primary key,memberID varchar(200),issueTime timestamp default CURRENT_TIMESTAMP,renew_count integer default 0,FOREIGN KEY (bookID) REFERENCES BOOK(id),FOREIGN KEY (memberID) REFERENCES MEMBER(id))
2019-12-28 22:56:48.714 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - CREATE TABLE MAIL_SERVER_INFO (server_name varchar(255),server_port integer,user_email varchar(1024),user_password varchar(1024),ssl_enabled boolean)
2019-12-28 22:56:57.766 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-12-28 22:58:02.621 [Thread-8] INFO  library.assistant.ui.main.Main - Library Manager is closing on 28-12-2019 10:56:42 PM. Used for 1577554082621 ms
2019-12-28 23:01:06.190 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:01:06 PM
2019-12-28 23:01:08.778 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:01:08.781 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:01:12.757 [JavaFX Application Thread] INFO  library.assistant.ui.login.LoginController - User successfully logged in admin
2019-12-28 23:03:57.463 [JavaFX Application Thread] INFO  library.assistant.exceptions.ExceptionUtil - INSERT INTO ISSUE(memberID,bookID) VALUES ('1','8') and UPDATE BOOK SET isAvail = false WHERE id = '8'
2019-12-28 23:04:44.532 [Thread-8] INFO  library.assistant.ui.main.Main - Library Manager is closing on 28-12-2019 11:01:06 PM. Used for 1577554484530 ms
2019-12-28 23:06:59.690 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:06:59 PM
2019-12-28 23:07:02.418 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:07:02.422 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:07:33.714 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:07:33 PM
2019-12-28 23:07:35.866 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Already loaded tables [issue, book, member, mail_server_info]
2019-12-28 23:07:35.870 [Thread-6] INFO  library.assistant.exceptions.ExceptionUtil - Tables are already loaded
2019-12-28 23:08:03.644 [main] INFO  library.assistant.ui.main.Main - Library Manager launched on 28-12-2019 11:08:03 PM
